bin_number,card_name,note
944078,신한카드,
944079,BC카드,(동부증권)
944080,BC카드,(유진투자증권)
944095,BC카드,(상호저축은행)
944096,BC카드,(케이뱅크)
9440XX,"BC카드,하나카드",(체크)
944111,NH농협카드,
944112,NH농협카드,
944116,NH농협카드,(체크)
944117,NH농협카드,
944155,BC카드,(바로비씨)
944192,BC카드,(카카오페이)
944403,"BC카드,IBK",(체크)
944420,"우리카드,BC카드",
944422,"우리카드,BC카드",
944520,"우리카드,BC카드",
944541,KB국민카드,(실버)
944542,KB국민카드,(골드)
944547,KB국민카드,(선불)
944603,BC카드,"(IBK, 나라사랑카드)"
944648,BC카드,(신협)
944691,BC카드,(NH투자증권)
944696,BC카드,(케이뱅크)
944711,NH농협카드,
944712,NH농협카드,
944948,BC카드,(신협)
944949,BC카드,(신협)
946031,BC카드,(대구)
946044,BC카드,(코나카드)
9460XX,BC카드,(기프트카드)
946144,BC카드,(코나카드)
9461XX,BC카드,(체크-스쿨카드)
946316,NH농협카드,(기프트카드)
946544,BC카드,(코나카드)
946644,BC카드,(코나카드)
947124,우리카드,
947137,전북은행,
949013,현대카드,"(M,X 체크, 하이브리드)"
949015,현대카드,
949018,현대카드,
949019,현대카드,(신용)
949028,현대카드,(체크)
949048,BC카드,(신협)
949049,BC카드,(신협)
949085,현대카드,
949088,현대카드,(신용)
949094,KB국민카드,(나라사랑카드)
949097,현대카드,(이마트e 체크카드)
949098,KB국민카드,(알파원카드)
949099,KB국민카드,(카카오뱅크 체크카드)
949103,KB국민카드,(카카오뱅크 mini카드)
949108,KB국민카드,(PAYCO 포인트 카드)
949130,KB국민카드,(나마네카드)
949133,KB국민카드,(동백전 선불카드)
949136,KB국민카드,(토스유스카드)
953003,광주은행,(체크)
954049,BC카드,(차이코퍼레이션)
970003,BC카드,(기업)
970031,BC카드,(대구)
970039,BC카드,(경남)
970045,BC카드,(새마을금고)
